class,Dimension_1,Dimension_2,Dimension_3,Dimension_4,Dimension_5,Dimension_6,Dimension_7,Dimension_8
1,0.078526701,0.592615442,0.407774634,0.66355611,0.469769023,0.339755829,0.087439637,0.317837653
1,0.242050393,0.602633922,0.46977381,0.671655352,0.559531534,0.438169156,0.057571452,0.282661068
1,0.024863816,0.471163277,0.41906576,0.695100484,0.509547503,0.342025865,0.179599688,0.393351384
1,0.081109028,0.583542962,0.535019946,0.720515673,0.652233598,0.429849646,0.147342816,0.424502896
1,0.233364001,0.581675246,0.57831226,0.684628324,0.505732803,0.470382639,0.061858208,0.450111245
1,0.142282382,0.438159934,0.499597312,0.707475559,0.538505867,0.444239198,0.110856125,0.321512159
1,0.082152225,0.553586092,0.519619661,0.644377347,0.458582284,0.274523434,0.103313375,0.324091383
1,0.16159696,0.556117136,0.42218132,0.542273866,0.602238621,0.30180782,0.193080202,0.255997858
1,0.229707966,0.405780752,0.481975309,0.628305476,0.593298486,0.317981718,0.108977335,0.40277371
1,0.162040711,0.538941802,0.42867578,0.527766818,0.546700474,0.418647954,0.054599278,0.259104791
1,0.036411903,0.567548998,0.533270278,0.600211797,0.514682792,0.22489926,0.058068327,0.27206141
1,0.136857258,0.405722243,0.513975357,0.605660468,0.577712347,0.434348874,0.119781362,0.42392728
1,0.113232962,0.440919799,0.442053477,0.696011208,0.488625778,0.409267751,0.172255708,0.379397209
1,0.204142589,0.597960381,0.431418229,0.554564954,0.515651759,0.41072059,0.210755238,0.411515727
1,0.245848096,0.48903889,0.514418661,0.741994763,0.446761453,0.445506096,0.188824203,0.376116475
1,0.054064481,0.494214306,0.411415294,0.717743153,0.563186243,0.4416551,0.120468703,0.31056281
1,0.099607917,0.429700157,0.497710916,0.641174381,0.578658888,0.310453305,0.085612119,0.34362098
1,0.085716315,0.614763311,0.41768582,0.566621588,0.530388488,0.28375758,0.089197282,0.313798595
1,0.066771743,0.525408261,0.457429789,0.533642671,0.475636996,0.338298941,0.065626006,0.287882626
1,0.15975064,0.417862397,0.397532427,0.693154081,0.649068332,0.228198579,0.226665313,0.298505271
1,0.085629135,0.601185143,0.475705791,0.522194214,0.591987658,0.283328286,0.091000511,0.321318289
1,0.169629121,0.406642636,0.47418746,0.532868928,0.652125137,0.224791158,0.187516324,0.319996602
1,0.103961088,0.4783354,0.470285814,0.674575855,0.510182065,0.328015521,0.097311109,0.220142452
